size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
75,par,0.006423,2094950725,2094950437,7,10.9258
75,par,0.007934,2094950669,2094950578,8,10.7305
75,par,0.010577,2094950900,2094950771,9,14.9297
75,par,0.007765,2094950660,2094950500,10,28.8086
75,built,0.000006,2094950815,2094951083,0,1.69141
75,seq,0.000002,2094950333,2094951155,0,1.8125
75,par,0.000373,2094950721,2094950841,1,2.00781
75,par,0.001169,2094950226,2094950879,2,2.74609
75,par,0.001942,2094950299,2094950784,3,4.8125
75,par,0.002853,2094950706,2094950335,4,8.84766
75,par,0.004571,2094950821,2094950975,5,10.9453
75,par,0.004933,2094950490,2094950852,6,6.86719
75,par,0.007827,2094950197,2094950209,7,10.9336
75,par,0.008015,2094950537,2094950771,8,22.793
75,par,0.011132,2094950629,2094950733,9,10.8516
75,par,0.014810,2094950803,2094950409,10,10.8477
75,built,0.000005,2094950708,2094951019,0,1.80078
75,seq,0.000002,2094950589,2094951075,0,1.80859
75,par,0.000369,2094950807,2094950910,1,1.96875
75,par,0.001124,2094950193,2094950639,2,1.84375
75,par,0.002527,2094950050,2094950128,3,4.80469
75,par,0.003174,2094950464,2094950337,4,6.82812
75,par,0.004209,2094950613,2094950620,5,10.8438
75,par,0.005316,2094950509,2094950783,6,8.92188
75,par,0.007250,2094950740,2094950542,7,8.87891
75,par,0.007530,2094950380,2094950268,8,14.9141
75,par,0.011305,2094950807,2094950763,9,26.793
75,par,0.008952,2094950650,2094950764,10,21.0625
75,built,0.000006,2094950773,2094951080,0,1.72656
75,seq,0.000003,2094948797,2094950934,0,1.85547
75,par,0.000376,2094950740,2094951083,1,2.01953
75,par,0.000535,2094950755,2094951107,2,2.79297
75,par,0.001924,2094950630,2094950201,3,6.85547
75,par,0.002605,2094950791,2094950108,4,6.78906
75,par,0.004986,2094950304,2094950611,5,10.8008
75,par,0.005520,2094950759,2094950316,6,12.8086
75,par,0.007565,2094950797,2094949973,7,10.8711
75,par,0.008330,2094950521,2094950696,8,14.75
75,par,0.012147,2094950628,2094950817,9,17.0156
75,par,0.011416,2094950752,2094950861,10,13.0547
75,built,0.000007,2094950768,2094950999,0,1.71484
40,seq,0.000001,2094950657,2094951021,0,1.78906
40,par,0.000380,2094950684,2094950877,1,1.82422
40,par,0.001133,2094950794,2094950887,2,2.03125
40,par,0.001854,2094950384,2094948255,3,4.73047
40,par,0.002857,2094950520,2094950809,4,4.85156
40,par,0.002656,2094950277,2094950591,5,6.89062
40,par,0.004990,2094950848,2094950727,6,6.91406
40,par,0.004818,2094950419,2094950774,7,8.80859
40,par,0.005186,2094950240,2094950564,8,10.8125
40,par,0.004943,2094950723,2094950762,9,12.8555
40,par,0.006259,2094950529,2094950691,10,8.88281
40,built,0.000003,2094950640,2094950897,0,1.74219
40,seq,0.000001,2094950590,2094951067,0,1.85938
40,par,0.000792,2094950777,2094950902,1,1.94922
40,par,0.000555,2094950581,2094951050,2,2.74609
40,par,0.001882,2094950463,2094950668,3,4.84766
40,par,0.002490,2094950498,2094949998,4,4.90625
40,par,0.003393,2094950073,2094950487,5,6.78906
40,par,0.004740,2094950833,2094950862,6,8.73438
40,par,0.006257,2094950881,2094949525,7,12.8516
40,par,0.006175,2094950812,2094950734,8,8.78125
40,par,0.007323,2094950397,2094950574,9,4.97656
40,par,0.005157,2094950668,2094950186,10,8.83594
40,built,0.000004,2094950847,2094951149,0,1.80078
40,seq,0.000001,2094950634,2094951041,0,1.78906
40,par,0.000346,2094950449,2094950886,1,1.94531
40,par,0.001072,2094950714,2094951005,2,2.80859
40,par,0.001048,2094950848,2094950895,3,4.80859
40,par,0.002556,2094950782,2094950441,4,6.86328
40,par,0.003348,2094950214,2094950767,5,6.79297
40,par,0.004168,2094950526,2094950322,6,6.85156
40,par,0.005404,2094950786,2094950738,7,8.93359
40,par,0.006030,2094950698,2094950753,8,10.8555
40,par,0.007507,2094950552,2094949981,9,10.9102
